i,start,fold,time
0,0,0.0,1.4307972192764282
1,25000,0.0,1.4244967699050903
2,50000,0.0,1.4180963039398193
3,75000,0.0,1.4116958379745483
4,100000,0.0,1.4041998386383057
5,125000,0.0,1.3978993892669678
6,150000,0.0,1.3914989233016968
7,175000,0.0,1.3850984573364258
8,200000,0.0,1.3786979913711548
9,225000,0.0,1.3722975254058838
10,250000,0.0,1.3658970594406128
11,275000,0.0,1.3594965934753418
12,300000,0.0,1.353196144104004
13,325000,0.0,1.346795678138733
14,350000,0.0,1.3392996788024902
15,375000,0.0,1.3328992128372192
16,400000,0.0,1.3265987634658813
17,425000,0.0,1.3201982975006104
18,450000,0.0,1.3137978315353394
19,475000,0.0,1.3073973655700684
20,500000,0.0,1.3009968996047974
21,525000,0.0,1.2945964336395264
22,550000,0.0,1.2882959842681885
23,575000,0.0,1.2807999849319458
24,600000,0.0,1.2743995189666748
25,625000,0.0,1.2679990530014038
26,650000,0.0,1.261698603630066
27,675000,0.0,1.255298137664795
28,700000,0.0,1.248897671699524
29,725000,0.0,1.242497205734253
30,750000,0.0,1.236096739768982
31,775000,0.0,1.229696273803711
32,800000,0.0,1.223395824432373
33,825000,0.0,1.2158998250961304
34,850000,0.0,1.2094993591308594
35,1000000,0.0,1.1711965799331665
36,1025000,0.0,1.1647961139678955
37,1050000,0.0,1.1584956645965576
38,1075000,0.0,1.150999665260315
39,1100000,0.0,1.144599199295044
40,1125000,0.0,1.138198733329773
41,1150000,0.0,1.131898283958435
42,1175000,0.0,1.125497817993164
43,1200000,0.0,1.119097352027893
44,1225000,0.0,1.112696886062622
45,1250000,0.0,1.106296420097351
46,1275000,0.0,1.09989595413208
47,1300000,0.0,1.0924999713897705
48,1325000,0.0,1.0860995054244995
49,1350000,0.0,1.0796990394592285
50,1375000,0.0,1.0732985734939575
51,1400000,0.0,1.0669981241226196
52,1425000,0.0,1.0605976581573486
53,1450000,0.0,1.0541971921920776
54,1475000,0.0,1.0477967262268066
55,1500000,0.0,1.0413962602615356
56,1525000,0.0,1.0349957942962646
57,1550000,0.0,1.027599811553955
58,1575000,0.0,1.021199345588684
59,1600000,0.0,1.014798879623413
60,1625000,0.0,1.008398413658142
61,1650000,0.0,1.001997947692871
62,1675000,0.0,0.9956974983215332
63,1700000,0.0,0.9892970323562622
64,1725000,0.0,0.9828965663909912
65,1750000,0.0,0.9764961004257202
66,1775000,0.0,0.9700956344604492
67,1800000,0.0,0.9626996517181396
68,1825000,0.0,0.9562991857528687
69,1850000,0.0,0.9498987197875977
70,2000000,2.0,0.9115959405899048
71,2025000,2.0,0.9041999578475952
72,2050000,2.0,0.8977994918823242
73,2075000,2.0,0.8913990259170532
